"","site","trap","year"
"44","FBG","FBG05","2013"
"68","FBG","FBG07","2017"
"78","FBG","FBG08","2017"
"111","FBG","FBG12","2010"
"188","GFH","GFH03","2017"
"219","GFH","GFH06","2019"
"277","GFH","GFH12","2017"
"307","GFH","GFH15","2017"
"317","GFH","GFH16","2017"
"337","HAR","HAR02","2017"
"347","HAR","HAR03","2017"
"349","HAR","HAR03","2019"
"407","HAR","HAR09","2017"
"447","HAR","HAR13","2017"
"457","HAR","HAR14","2017"
"497","SST","SST02","2017"
"537","SST","SST06","2017"
"539","SST","SST06","2019"
"577","SST","SST10","2017"
"787","SIP","SIP16","2017"
"807","WAN","WAN02","2017"
"830","WAN","WAN05","2010"
"837","WAN","WAN05","2017"
"847","WAN","WAN06","2017"
"855","WAN","WAN07","2015"
"863","WAN","WAN08","2013"
"865","WAN","WAN08","2015"
"893","WAN","WAN11","2013"
"897","WAN","WAN11","2017"
"899","WAN","WAN11","2019"
"918","WAN","WAN13","2018"
